tieu_de,gia,gia_hien_thi,gia_m2,dien_tich,huong_nha,huong_ban_cong,noi_that,phap_ly,ten_du_an,so_phong,so_wc,duong,phuong,quan,thanh_pho,latitude,longitude,khoang_cach_q1_km,ngay_dang,nguoi_ban,loai_tin,link
"Booking 0đ The Win City Tỉnh Lộ 10, thanh toán chỉ 20% nhận nhà",1850000000,"1,85 tỷ",28.461538,65.0,,,,5,,2,2,Đường Tỉnh lộ 10,Xã Lê Minh Xuân,Huyện Bình Chánh,Tp Hồ Chí Minh,10.761773,106.570145,14.31,2025-12-23,Nguyễn Thị Hậu,s,https://www.chotot.com/129624999.htm
Chính chủ cần bán căn C06.20 tầng 6 Lô C view công viên,3250000000,"3,25 tỷ",44.52055,73.0,1.0,2.0,3.0,5,Diamond Riverside (City Gate Towers 2),2,2,Võ Văn Kiệt,Phường 16,Quận 8,Tp Hồ Chí Minh,10.72855,106.62393,9.86,2025-12-23,NGUYỄN LÊ DIỄM TRANG,s,https://www.chotot.com/129350473.htm
"🍀CHÍNH CHỦ BÁN 3PN EMERALD CHỈ 7 TỶ NHẬN NHÀ MỚI TINH, CÓ NỘI THẤT ĐẸP",7000000000,7 tỷ,67.30769,104.0,,,2.0,5,Celadon City,3,2,N1,Phường Sơn Kỳ,Quận Tân Phú,Tp Hồ Chí Minh,10.80384,106.61603,9.74,2025-12-23,Dương Đăng Phúc,s,https://www.chotot.com/129633488.htm
Bán shophouse tầng trệt green river dt151m2 1 trệt + 1 lầu có sổ hồng,5900000000,"5,9 tỷ",39.07285,151.0,,,3.0,6,Green River - Quận 8,2,3,Phạm Thế Hiển,Phường 6,Quận 8,Tp Hồ Chí Minh,10.73289,106.64306,7.87,2025-12-23,Khangphuc,s,https://www.chotot.com/129652429.htm
"Citihome 2pn 1wc bán nhanh 2,650 tỷ",2650000000,"2,65 tỷ",44.166668,60.0,,,,6,Citi Home,2,1,Đồng Văn Cống,Phường Cát Lái (Quận 2 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.78628,106.75109,5.66,2025-12-23,Việt Thanh,s,https://www.chotot.com/129155160.htm
"Chính chủ bán căn Citialto 2pn, 2wc giá 2,850 tỷ",2850000000,"2,85 tỷ",54.807693,52.0,,,,5,Citi Alto,2,2,Nguyễn Thị Định,Phường Cát Lái (Quận 2 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.77446,106.76999,7.6,2025-12-23,Việt Thanh,s,https://www.chotot.com/117577619.htm
Bán chung cư PM LH : 0. Chín 0  mộ ..t 6 ...ha .i không khôn.g 6 ha..i,5000000000,5 tỷ,62.5,80.0,,,2.0,6,Chung cư Phú Mỹ,2,2,Hoàng Quốc Việt,Phường Phú Mỹ,Quận 7,Tp Hồ Chí Minh,10.71422,106.73743,7.94,2025-12-23,Mai Văn Tuấn,s,https://www.chotot.com/129864237.htm
"Bán căn hộ Privia 1 PN giá 3,3 tỷ nhà mới",3300000000,"3,3 tỷ",61.11111,54.0,,,,6,The Privia,1,1,An Dương Vương,Phường An Lạc,Quận Bình Tân,Tp Hồ Chí Minh,10.72827,106.61888,10.35,2025-12-23,Anh,s,https://www.chotot.com/129555083.htm
"Bán căn GÓC 2 phòng ngủ Lô B ,Carina rộng 99 m2, có sẵn sổ hồng",3590000000,"3,59 tỷ",36.262627,99.0,3.0,5.0,2.0,6,Carina Plaza,2,2,Đại Lộ Đông Tây,Phường 16,Quận 8,Tp Hồ Chí Minh,10.74429,106.65064,6.46,2025-12-23,NGUYỄN LÊ DIỄM TRANG,s,https://www.chotot.com/118557601.htm
"Bán căn hộ The Privia 2 PN đủ nội thất 3,95 tỷ",3950000000,"3,95 tỷ",57.246376,69.0,,,,6,The Privia,2,2,An Dương Vương,Phường An Lạc,Quận Bình Tân,Tp Hồ Chí Minh,10.72827,106.61888,10.35,2025-12-23,Nhi,s,https://www.chotot.com/128720799.htm
"Bán 2PN 3PN Chung cư Rivar Park  504 Nguyễn Tất Thành, P18, Quận 4",5500000000,"5,5 tỷ",68.75,80.0,,,,6,Riva Park,2,2,Nguyễn Tất Thành,Phường 18,Quận 4,Tp Hồ Chí Minh,10.75665,106.71845,2.89,2025-12-23,TẤN HUY,s,https://www.chotot.com/129864170.htm
"cần bán chung cu Oriental plaza 104, 3 pn",5650000000,"5,65 tỷ",54.326923,104.0,3.0,1.0,2.0,5,,3,2,Đường Âu Cơ,Phường Tân Thành,Quận Tân Phú,Tp Hồ Chí Minh,10.791539,106.63968,6.87,2025-12-23,Ni,s,https://www.chotot.com/129480508.htm
